location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index
Africa,February 13 2020,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa,February 14 2020,1,1,,,0,,0.001,0.001,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa,February 15 2020,1,0,,,0,,0.001,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa,February 16 2020,1,0,,,0,,0.001,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa,February 17 2020,1,0,,,0,,0.001,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa,February 18 2020,1,0,0.143,,0,0,0.001,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa,February 19 2020,1,0,0.143,,0,0,0.001,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa,February 20 2020,1,0,0.143,,0,0,0.001,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa,February 21 2020,1,0,0,,0,0,0.001,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa,February 22 2020,1,0,0,,0,0,0.001,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa,February 23 2020,1,0,0,,0,0,0.001,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa,February 24 2020,1,0,0,,0,0,0.001,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa,February 25 2020,2,1,0.143,,0,0,0.001,0.001,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa,February 26 2020,2,0,0.143,,0,0,0.001,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa,February 27 2020,2,0,0.143,,0,0,0.001,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa,February 28 2020,3,1,0.286,,0,0,0.002,0.001,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa,February 29 2020,3,0,0.286,,0,0,0.002,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa,March 1 2020,4,1,0.429,,0,0,0.003,0.001,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa,March 2 2020,8,4,1,,0,0,0.006,0.003,0.001,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa,March 3 2020,11,3,1.286,,0,0,0.008,0.002,0.001,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa,March 4 2020,21,10,2.714,,0,0,0.015,0.007,0.002,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa,March 5 2020,24,3,3.143,,0,0,0.017,0.002,0.002,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa,March 6 2020,43,19,5.714,,0,0,0.031,0.014,0.004,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa,March 7 2020,43,0,5.714,,0,0,0.031,0,0.004,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa,March 8 2020,83,40,11.286,1,1,0.143,0.06,0.029,0.008,0.001,0.001,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa,March 9 2020,91,8,11.857,1,0,0.143,0.065,0.006,0.009,0.001,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa,March 10 2020,104,13,13.286,2,1,0.286,0.075,0.009,0.01,0.001,0.001,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa,March 11 2020,118,14,13.857,2,0,0.286,0.085,0.01,0.01,0.001,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
