location,date,new_cases_per_million,new_deaths_per_million,new_vaccinations_smoothed_per_million
Africa,2020-02-13,0,0,
Africa,2020-02-14,0.001,0,
Africa,2020-02-15,0,0,
Africa,2020-02-16,0,0,
Africa,2020-02-17,0,0,
Africa,2020-02-18,0,0,
Africa,2020-02-19,0,0,
Africa,2020-02-20,0,0,
Africa,2020-02-21,0,0,
Africa,2020-02-22,0,0,
Africa,2020-02-23,0,0,
Africa,2020-02-24,0,0,
Africa,2020-02-25,0.001,0,
Africa,2020-02-26,0,0,
Africa,2020-02-27,0,0,
Africa,2020-02-28,0.001,0,
Africa,2020-02-29,0,0,
Africa,2020-03-01,0.001,0,
Africa,2020-03-02,0.003,0,
Africa,2020-03-03,0.002,0,
Africa,2020-03-04,0.007,0,
Africa,2020-03-05,0.002,0,
Africa,2020-03-06,0.014,0,
Africa,2020-03-07,0,0,
Africa,2020-03-08,0.029,0.001,
Africa,2020-03-09,0.006,0,
Africa,2020-03-10,0.009,0.001,
Africa,2020-03-11,0.01,0,
Africa,2020-03-12,0.011,0.001,
Africa,2020-03-13,0.03,0.002,
Africa,2020-03-14,0.055,0.001,
Africa,2020-03-15,0.047,0.001,
Africa,2020-03-16,0.062,0,
Africa,2020-03-17,0.063,0.002,
Africa,2020-03-18,0.085,0.004,
Africa,2020-03-19,0.128,0.002,
Africa,2020-03-20,0.131,0.004,
Africa,2020-03-21,0.148,0.006,
Africa,2020-03-22,0.182,0.008,
Africa,2020-03-23,0.275,0.006,
Africa,2020-03-24,0.315,0.005,
Africa,2020-03-25,0.376,0.008,
Africa,2020-03-26,0.378,0.013,
Africa,2020-03-27,0.417,0.017,
Africa,2020-03-28,0.246,0.014,
Africa,2020-03-29,0.405,0.012,
Africa,2020-03-30,0.284,0.015,
Africa,2020-03-31,0.421,0.019,
Africa,2020-04-01,0.43,0.025,
Africa,2020-04-02,0.471,0.037,
Africa,2020-04-03,0.633,0.033,
Africa,2020-04-04,0.49,0.037,
Africa,2020-04-05,0.492,0.043,
Africa,2020-04-06,0.514,0.032,
Africa,2020-04-07,0.451,0.033,
Africa,2020-04-08,0.579,0.029,
Africa,2020-04-09,0.57,0.039,
Africa,2020-04-10,0.498,0.045,
Africa,2020-04-11,0.513,0.037,
Africa,2020-04-12,0.624,0.033,
Africa,2020-04-13,0.554,0.032,
Africa,2020-04-14,0.697,0.029,
Africa,2020-04-15,0.693,0.027,
Africa,2020-04-16,0.839,0.04,
Africa,2020-04-17,1.008,0.036,
Africa,2020-04-18,0.94,0.031,
Africa,2020-04-19,0.86,0.045,
Africa,2020-04-20,0.835,0.028,
Africa,2020-04-21,0.773,0.022,
Africa,2020-04-22,1.008,0.037,
Africa,2020-04-23,1.032,0.041,
Africa,2020-04-24,1.225,0.019,
Africa,2020-04-25,0.893,0.034,
Africa,2020-04-26,1.1,0.036,
Africa,2020-04-27,0.96,0.028,
Africa,2020-04-28,1.163,0.044,
Africa,2020-04-29,1.453,0.047,
Africa,2020-04-30,1.398,0.033,
Africa,2020-05-01,1.232,0.04,
Africa,2020-05-02,1.611,0.05,
Africa,2020-05-03,1.143,0.027,
Africa,2020-05-04,1.906,0.033,
Africa,2020-05-05,1.467,0.046,
Africa,2020-05-06,1.826,0.072,
Africa,2020-05-07,1.786,0.048,
Africa,2020-05-08,2.603,0.058,
Africa,2020-05-09,2.054,0.048,
Africa,2020-05-10,1.852,0.05,
Africa,2020-05-11,2.202,0.039,
Africa,2020-05-12,2.274,0.037,
Africa,2020-05-13,2.093,0.07,
Africa,2020-05-14,2.239,0.05,
Africa,2020-05-15,2.101,0.045,
Africa,2020-05-16,2.157,0.06,
Africa,2020-05-17,2.38,0.036,
Africa,2020-05-18,2.634,0.052,
Africa,2020-05-19,2.313,0.054,
Africa,2020-05-20,2.723,0.06,
Africa,2020-05-21,3.447,0.075,
Africa,2020-05-22,2.778,0.063,
Africa,2020-05-23,2.776,0.052,
Africa,2020-05-24,2.959,0.071,
Africa,2020-05-25,2.965,0.09,
Africa,2020-05-26,2.665,0.08,
Africa,2020-05-27,3.648,0.077,
Africa,2020-05-28,3.531,0.067,
Africa,2020-05-29,4.127,0.094,
Africa,2020-05-30,4.394,0.106,
Africa,2020-05-31,3.768,0.11,
Africa,2020-06-01,4.155,0.087,
Africa,2020-06-02,3.503,0.108,
Africa,2020-06-03,3.661,0.078,
Africa,2020-06-04,5.103,0.111,
Africa,2020-06-05,5.161,0.113,
Africa,2020-06-06,4.739,0.102,
Africa,2020-06-07,4.549,0.096,
Africa,2020-06-08,4.777,0.126,
Africa,2020-06-09,4.647,0.125,
Africa,2020-06-10,4.701,0.108,
Africa,2020-06-11,5.317,0.117,
Africa,2020-06-12,5.802,0.142,
Africa,2020-06-13,5.808,0.147,
Africa,2020-06-14,6.306,0.148,
Africa,2020-06-15,6.89,0.217,
Africa,2020-06-16,5.488,0.182,
Africa,2020-06-17,6.274,0.146,
Africa,2020-06-18,5.914,0.144,
Africa,2020-06-19,7.048,0.189,
Africa,2020-06-20,8.151,0.169,
Africa,2020-06-21,6.778,0.141,
Africa,2020-06-22,6.454,0.161,
Africa,2020-06-23,6.518,0.203,
Africa,2020-06-24,8.151,0.169,
Africa,2020-06-25,8.577,0.154,
Africa,2020-06-26,8.33,0.153,
Africa,2020-06-27,8.788,0.145,
Africa,2020-06-28,7.619,0.129,
Africa,2020-06-29,7.993,0.154,
Africa,2020-06-30,8.337,0.193,
Africa,2020-07-01,9.489,0.185,
Africa,2020-07-02,10.2,0.172,
Africa,2020-07-03,10.888,0.172,
Africa,2020-07-04,11.121,0.144,
Africa,2020-07-05,9.792,0.201,
Africa,2020-07-06,9.868,0.177,
Africa,2020-07-07,12.544,0.262,
Africa,2020-07-08,10.588,0.185,
Africa,2020-07-09,13.782,0.162,
Africa,2020-07-10,12.716,0.22,
Africa,2020-07-11,13.492,0.162,
Africa,2020-07-12,12.006,0.182,
Africa,2020-07-13,11.541,0.159,
Africa,2020-07-14,10.378,0.215,
Africa,2020-07-15,12.95,0.162,
Africa,2020-07-16,14.683,0.264,
Africa,2020-07-17,14.033,0.227,
Africa,2020-07-18,13.654,0.202,
Africa,2020-07-19,13.336,0.155,
Africa,2020-07-20,11.141,0.182,
Africa,2020-07-21,9.968,0.226,
Africa,2020-07-22,14.083,0.508,
Africa,2020-07-23,13.265,0.192,
Africa,2020-07-24,15.868,0.281,
Africa,2020-07-25,13.031,0.299,
Africa,2020-07-26,13.149,0.175,
