data,date,total,,,
new_cases,January 26 2020,4,,,
new_cases,January 27 2020,1,,,
new_cases,January 28 2020,0,,,
new_cases,January 29 2020,1,,,
new_cases,January 30 2020,3,,,
new_cases,January 31 2020,0,,,
new_cases,February 1 2020,3,,,
new_cases,February 2 2020,0,,,
new_cases,February 3 2020,0,,,
new_cases,February 4 2020,1,,,
new_cases,February 5 2020,0,,,
new_cases,February 6 2020,1,,,
new_cases,February 7 2020,1,,,
new_cases,February 8 2020,0,,,
new_cases,February 9 2020,0,,,
new_cases,February 10 2020,0,,,
new_cases,February 11 2020,0,,,
new_cases,February 12 2020,0,,,
new_cases,February 13 2020,0,,,
new_cases,February 14 2020,0,,,
new_cases,February 15 2020,0,,,
new_cases,February 16 2020,0,,,
new_cases,February 17 2020,0,,,
new_cases,February 18 2020,0,,,
new_cases,February 19 2020,0,,,
new_cases,February 20 2020,0,,,
new_cases,February 21 2020,0,,,
new_cases,February 22 2020,0,,,
new_cases,February 23 2020,0,,,
new_cases,February 24 2020,0,,,
new_cases,February 25 2020,0,,,
new_cases,February 26 2020,0,,,
new_cases,February 27 2020,0,,,
new_cases,February 28 2020,0,,,
new_cases,February 29 2020,10,,,
new_cases,March 1 2020,2,,,
new_cases,March 2 2020,3,,,
new_cases,March 3 2020,9,,,
new_cases,March 4 2020,13,,,
new_cases,March 5 2020,3,,,
new_cases,March 6 2020,5,,,
new_cases,March 7 2020,3,,,
new_cases,March 8 2020,13,,,
new_cases,March 9 2020,15,,,
new_cases,March 10 2020,16,,,
new_cases,March 11 2020,21,,,
new_cases,March 12 2020,0,,,
new_cases,March 13 2020,72,,,
new_cases,March 14 2020,50,,,
new_cases,March 15 2020,47,,,
new_cases,March 16 2020,80,,,
new_cases,March 17 2020,75,,,
new_cases,March 18 2020,116,,,
new_cases,March 19 2020,113,,,
new_cases,March 20 2020,110,,,
new_cases,March 21 2020,280,,,
new_cases,March 22 2020,478,,,
new_cases,March 23 2020,133,,,
new_cases,March 24 2020,362,,,
new_cases,March 25 2020,320,,,
new_cases,March 26 2020,446,,,
new_cases,March 27 2020,333,,,
new_cases,March 28 2020,497,,,
new_cases,March 29 2020,344,,,
new_cases,March 30 2020,377,,,
new_cases,March 31 2020,198,,,
new_cases,April 1 2020,303,,,
new_cases,April 2 2020,254,,,
new_cases,April 3 2020,214,,,
new_cases,April 4 2020,220,,,
new_cases,April 5 2020,137,,,
new_cases,April 6 2020,110,,,
new_cases,April 7 2020,98,,,
new_cases,April 8 2020,115,,,
new_cases,April 9 2020,98,,,
new_cases,April 10 2020,107,,,
new_cases,April 11 2020,88,,,
new_cases,April 12 2020,12,,,
new_cases,April 13 2020,36,,,
new_cases,April 14 2020,64,,,
new_cases,April 15 2020,25,,,
new_cases,April 16 2020,22,,,
new_cases,April 17 2020,60,,,
new_cases,April 18 2020,46,,,
new_cases,April 19 2020,42,,,
new_cases,April 20 2020,13,,,
new_cases,April 21 2020,22,,,
new_cases,April 22 2020,7,,,
new_cases,April 23 2020,10,,,
new_cases,April 24 2020,15,,,
new_cases,April 25 2020,17,,,
new_cases,April 26 2020,20,,,
new_cases,April 27 2020,7,,,
new_cases,April 28 2020,23,,,
new_cases,April 29 2020,8,,,
new_cases,April 30 2020,14,,,
new_cases,May 1 2020,12,,,
new_cases,May 2 2020,21,,,
new_cases,May 3 2020,23,,,
new_cases,May 4 2020,25,,,
new_cases,May 5 2020,28,,,
new_cases,May 6 2020,19,,,
